topic	event_id	label	tweet_id	text
Ukraine	EN01	False	1499114751783497728	And now for the statement from the Russian Embassy in Canada... It's abhorrent 😡 https://t.co/wzWkI5w9Xk https://t.co/UFQvstFyNc
Ukraine	EN01	Other	1499122977841217537	Statement by the Russian Embassy in Canada: https://t.co/gCAnEl3ObG
Ukraine	EN01	False	1499218098393600000	"Read the Official statement by the Russian Embassy in #Canada...
required reading for anyone who wants to have an informed decision. #USA https://t.co/Y8g5FNAVxi"
Ukraine	EN01	Other	1499215377884225536	OFFICIAL STATEMENT BY RUSSIAN EMBASSY IN CANADA... https://t.co/EtaNrxVR4V
Ukraine	EN01	Other	1499380760372985860	Original statement made by the Russian Embassy of Canada. https://t.co/f027kH3MKD
Ukraine	EN01	Other	1510959031858442242	@ItsDeanBlundell Russia is claiming the #BuchaMassacre is a US false flag. Frankly, until Russia can talk sense about this, I don't think diplomatic relations are even possible between Canada and Russia. Time to expel the Russian embassy. @JustinTrudeau #ExpelRussianAmbassador
Ukraine	EN01	Other	1506068323477463040	@Reuters Is their any Russian Embassy in Europe publishing statement recently to comdmning the media ? Here in Canada today the Russia maid a statement about the Russian journalist been released by the Russian authorities
Ukraine	EN01	False	1502266302404071425	"#russia #canada
Embassy Statement
The whole story has been staged. https://t.co/AJkcKj1maI"
Ukraine	EN01	False	1499506378217385996	@BonginoReport Interesting statement from the Russian embassy to Canada. https://t.co/MIfppwZ821
Ukraine	EN01	Other	1511156705534492678	"@JustinTrudeau Yet, the NDP-Liberal government HASN'T persona non grata the Russian Embassy or the 3 Consulates.

RU elite send their kids to Canada for education, so cancel their student visas.

Besides remember that #China thing, your scared, impotent and weak.

#UkraineRussianWar"
Ukraine	EN01	Other	1511336479611625477	@Justin_Ling same with the Russian Embassy in Canada @russianembassyc
Ukraine	EN01	Other	1511217540508254214	Why don’t we close the Russian embassy and kick there diplomats out of Canada war criminals are not welcome her what they did in Bucha is disgusting and Putin needs to be executed as well as the soldiers that committed these crimes https://t.co/oliHElxbtu
Ukraine	EN01	Other	1499735709879578626	Very interesting statement from the Russian embassy in Canada. You don't have to be pro Ukraine or pro Russia, just keep an open mind and be pro peace and pro truth. https://t.co/mXQsxangiK
Ukraine	EN01	False	1499481052393324544	Second statement From Russian Embassy In Canada... https://t.co/xG46kJuafj
Ukraine	EN01	Other	1511423212047020040	"“Red paint thrown at the Russian Embassy in Ottawa, Canada”
#Canada #EU #Europe #Russia #Ukraine #UkraineVSRussia #UkraineRussiaWar https://t.co/rG91LNTfss"
Ukraine	EN01	Other	1504407810557288453	Russian Embassy of Canada releases a statement https://t.co/LGbvROUCrK
Ukraine	EN01	False	1499567107889311745	The Russian Embassy In Canada Put Out A Statement On Ukraine &; Twitter Is Just Incredulous https://t.co/uJZyxXfena
Ukraine	EN01	False	1500156710840901641	The statement from Russian embassy in Canada... read it well. #Ukraine #Russia #UkraineRussiaConflict #IstandwithRussia https://t.co/xanZoqF0K7
Ukraine	EN01	Other	1511057172842655747	"@BobRae48 Then why is there still a Russian embassy in Canada? They have absolutely nothing worth listening to except ""we surrender,"" and they can do that from Moscow."
Ukraine	EN01	False	1506095809993089024	statement from Russian embassy in Canada #Ukraine #UkraineRussianWar #skpoli #cdnpoli #yxe https://t.co/do2emWPdfb
Ukraine	EN01	False	1505672596066816000	"EMBASSY STATEMENT from The EMBASSY Of RUSSIAN 🇷🇺 FEDERATION IN CANADA 🇨🇦 
@AntProverbs @SantaSurfing2 @TheSilverSurf11 @Ladybug9325   @MalibuSolo @PeggyDodson @buxton_vs @amc4everyone @lindarobson64 https://t.co/YWCTRmB8Zo"
Ukraine	EN01	Other	1511335665459503106	"@melaniejoly The main function of the russian embassy in Canada is propaganda. Please kick out #Stepanov

ex. 1 
https://t.co/GWvEwNLIlT"
Ukraine	EN01	Other	1505298156027797515	@kylegriffin1 @Yvan_Baker @JustinTrudeau why has 🇨🇦not followed suit? This is one way we can show leadership &; do more. 👀 at the Russian embassy in Canada Twitter page. It’s embarrassing that these representatives of Putin’s criminal regime remain in Canada yet you claim we #StandWithUkraine
Ukraine	EN01	Other	1511355518786412549	"@TondaMacC Canada's response to the #BuchaMassacre has been incredibly underwhelming.

How about:
- expel the russian embassy
- increase arms to Ukraine
- lobby for russia to be removed from all world forums"
Ukraine	EN01	True	1499075709792305158	@mumSELondon @anwaya @RussianEmbassyC @mfa_russia @globeandmail @CBCNews @RadioCanadaInfo @nationalpost @globalnews @LP_LaPresse @LeDevoir @TorontoStar @SputnikInt The statement was issued from the Russian embassy in Canada by officials who have access to the truth every day and HAVE to know that Putin has been lying and the Russian propaganda isn’t true.
Ukraine	EN01	False	1505453143311626244	"@TibetPeople To quote Russian Embassy in Canada - ""Russia is not starting wars.  Russia is ending them.""  Those who knows what's REALLY happening in Ukraine, would see the truth of that statement.  I suggest to stop accepting @joebiden's warmongering rhetoric &; LISTEN to what Putin is saying."
Ukraine	EN01	Other	1510945874838446088	"⚡️An action of ""empty carriages"" took place in the capital of Canada. Dozens of strollers have been put up in front of the Russian embassy in memory of the children who died in Ukraine because of the Russian invasion, - local citizens inform. Video: Jackie Perez https://t.co/yqeQScoCu6"
Ukraine	EN01	Other	1511111874045165569	"@JustinTrudeau @NATO 1/ 1. Empty Canada's arsenals of ""all"" appropriate weapons systems and send them to Ukraine for it's current defense and future offensive plans. 
2. Recall our Ambassador and all Canadian embassy personnel from Moscow.
3. Expel Russian Ambassador and all his embassy personnel"
Ukraine	EN01	False	1499264289743548418	Statement from the Russian Embassy in Canada regarding the conflict in the Ukraine. https://t.co/t9jLbkZjqT
Ukraine	EN01	Other	1511174631545257984	@Hyhshs10 @TheRealStoryPlz @GeromanAT @BNONews UA lies? LMAO the Russian Embassy for Canada literally posted a raindrop and claimed it was a hand moving on a fake corpse...who is lying again?
Ukraine	EN01	Other	1499911051109830659	"@get_headway The Russian Embassy has released a statement in Canada explaining what they are doing.  
Those with curiosity will do an internet search for the document. 
If it's censored on google, try duck duck go, or for the only truly non-censored search, use Brave."
Ukraine	EN01	False	1499378283602841604	This statement was actually released from the Russian embassy in Canada https://t.co/lkjpjmbAJq
Ukraine	EN01	Other	1510880726924804097	@melaniejoly Expel the Russian Embassy officials from Canada and do more to punish Russia.
Ukraine	EN01	Other	1499794037808713728	"Why did neonazis use Canada's embassy as a ""safe haven"" during the US-backed 2014 Ukrainian coup? https://t.co/9ZHul5OAQQ

Why has Canada been training neo-nazi batallions via Operation UNIFIER since 2015? https://t.co/vm0WBta8DA

https://t.co/qqg2BbeDSV"
Ukraine	EN01	True	1500011897201958914	"@Osinttechnical Did you see the statement that came out of the Russian Embassy in Canada (where apparently they haven't yet been kicked out)?
I don't trust them not to fire upon columns of civilians as they leave."
Ukraine	EN01	Other	1499900468516077568	Russian Embassy in Canada, statement: https://t.co/ap3JUK6VKV
Ukraine	EN01	True	1504391227717869568	@MXMarineMomK https://t.co/YdWMo5XEKc BATSHEETCRAZY
Ukraine	EN01	Other	1511408501603639301	@RussiaUN @RussianEmbassyC @mfa_russia @RussianEmbassy @RusEmbUSA @RusMission_EU @RF_OSCE @RusEmbNo @RussianAlbania @Rus_Emb_Ireland @UN_News_Centre @UN_Report Looking for signs of intelligent live at the Russia Embassy in Canada?  Hello, anyone there? Nope, no intelligent life found at any Russian Embassy in the world.  Love @NATO @NATO_AIRCOM @NORADCommand @CanadianForces and @HockeyCanada too!
Ukraine	EN01	False	1499209511726460930	The #Russian embassy in #Canada put out a statement about the #RussianUkrainianWar https://t.co/RO8kznGhsT
Ukraine	EN01	Other	1511156047133626368	@melaniejoly Please censure russian embassy staff in Canada for comments on fake corpses in Bucha. Do we need to continue hosting these people in Canada and giving them Embassy status from which to spread attacks on Ukrainian integrity?
Ukraine	EN01	Other	1499590594024419328	"Statement from Russian embassy in Canada. Aa Canada is looking to ban Russian people. 

Interestingly Singapore have just banned Russian people. https://t.co/AYv6bN2DBG"
Ukraine	EN01	Other	1510817154471534598	@ukrcancongress @melaniejoly We should cut off the water, electricity, gas, phone &; internet connections to the Russian embassy in Ottawa. Why should they have these utilities when they destroy #Ukrainian cities? Call it a special utility infrastructure operation. Public works? #Ukraine #Ottawa #Canada
Ukraine	EN01	Other	1499084904667176965	ppl who believe our MSM in Canada, will not believe this Russian Embassy Statement...Why?  They think the news in Canada is what's really going on and every other nation is lying. Russia Bad, Ukraine Good.  It's all their little sheeple minds think, because they are told to. https://t.co/JmscUNSEWY
Ukraine	EN01	False	1499105461231968257	"@francska1 Statement from Russian Embassy in Canada
""The Ukrainian side is deploying MLRS and artillery in the courtyards of residential buildings, hospitals, schools and kindergartens.""
""Armed Forces of #Ukraine and neo-Nazi groups use civilians as human shields"" 
https://t.co/FBmtCreNJZ"
Ukraine	EN01	Other	1511364474321711110	"Claim: 'Faked dead bodies'
The Russian Embassy in Canada tweeted the video, dismissing the idea that it showed corpses, with the caption ""staged video showing faked dead bodies in the town of Bucha near Kiev"". BBC Source

Remove the Russian Diplomats from Canada NOW!!"
Ukraine	EN01	False	1499181872684933120	Statement from the Russian Embassy of Canada https://t.co/ywecEkHUJI
Ukraine	EN01	False	1499378807492415490	"@RealCandaceO A statement from the Russian embassy in Canada.
https://t.co/11nPWQ7ZX6"
Ukraine	EN01	False	1499209556496244736	"A statement yesterday from the Russian Embassy in Canada. 
VERY IMPORTANT TO READ AND UNDERSTAND. https://t.co/WPuDXoQ3MZ"
Ukraine	EN01	False	1502689510597234690	"@Mwam_1993_ Interesting statement from the Russian Embassy in Canada...
- Haven't seen much on Taiwan... https://t.co/NKTQ3ctvBK"
Ukraine	EN01	Other	1511296577633234945	@justiintrrudeau When is Canada going to expel Russian Diplomats/spies/terrorists and close the Russian Embassy?
